fly	condition	from	to	angle_enter_exit
0	rewarded	[-1.07243243  1.66486486]	[0.56702703 1.91081081]	-0.8607254313017942
1	rewarded	[1.07783784 1.67081081]	[-1.93567568  0.42810811]	1.926054839033374
3	rewarded	[-0.94702703  1.73243243]	[1.18918919 1.48864865]	-1.1742964499245394
4	rewarded	[-1.09243243  1.65081081]	[-1.83189189 -0.53783784]	1.2717738848606777
5	rewarded	[-0.03081081  1.97837838]	[-0.64810811  1.79891892]	0.3302277732815382
6	rewarded	[1.38108108 1.41945946]	[ 0.32       -1.85783784]	-2.1993279778536285
7	non-rewarded	[0.82432432 1.80918919]	[0.41297297 1.65027027]	0.18231768320956165
8	non-rewarded	[0.21513514 1.85351351]	[-1.28684685 -1.40582583]	2.515903741724582
9	rewarded	[-1.52972973  1.24162162]	[-1.92972973 -0.25945946]	0.8154630863143142
10	rewarded	[0.15405405 1.9772973 ]	[1.10756757 1.52756757]	-0.5495886297884542
11	rewarded	[-1.86822823 -0.66648649]	[ 0.24222222 -1.95663664]	1.351291267762357
12	rewarded	[-0.4972973   1.90378378]	[ 1.90918919 -0.34054054]	-2.002815185587524
13	non-rewarded	[-1.36486486 -1.3427027 ]	[1.47567568 1.13837838]	3.0214545096311882
14	non-rewarded	[-0.75675676  1.80108108]	[ 0.48648649 -1.84702703]	3.0013615866149097
15	non-rewarded	[-1.95189189  0.16054054]	[-0.80288288  1.77261261]	-1.0634382194624026
16	rewarded	[-0.16378378  1.90486486]	[1.6036855  1.16879607]	-1.0267604888682533
17	non-rewarded	[0.17189189 1.96324324]	[-0.69459459 -1.8       ]	2.860644874650087
18	non-rewarded	[-0.31017199  1.85071253]	[-1.90438438 -0.5012012 ]	1.6620905844105538
19	non-rewarded	[1.43771772 1.26096096]	[-1.88594595 -0.33405405]	2.5969083868742304
20	rewarded	[0.13915916 1.95381381]	[ 0.99660934 -1.59862408]	-2.513028228545399
21	non-rewarded	[0.43945946 1.81351351]	[-0.1427027   1.93513514]	0.31135186492924927
22	non-rewarded	[-0.05621622  1.88324324]	[-1.58019656 -1.16427518]	2.175948292726268
23	rewarded	[-1.90648649 -0.48702703]	[1.64054054 0.95405405]	-2.8649597275968235
24	non-rewarded	[-1.64108108 -0.93027027]	[0.17837838 1.98798799]	-2.1759833632288768
25	rewarded	[-0.63945946  1.86162162]	[1.23297297 1.56432432]	-0.9983623065102227
26	non-rewarded	[-1.78108108 -0.88432432]	[-0.42928747 -1.91380835]	0.8892865737895193
27	non-rewarded	[-1.73616708  0.88540541]	[0. 0.]	-2.6699952797239854
28	rewarded	[-0.97945946  1.62918919]	[0.98810811 1.70486486]	-1.0665678617361118
29	rewarded	[1.00702703 1.72702703]	[0.77027027 1.84216216]	0.13185871398955484
30	rewarded	[-1.40378378  1.3372973 ]	[1.16486486 1.56378378]	-1.4498790457022874
31	non-rewarded	[0.56540541 1.85459459]	[ 0.06054054 -1.97243243]	-2.8149926639305036
32	non-rewarded	[1.67513514 1.06378378]	[-1.61891892 -1.07513514]	-3.1211534024703447
33	rewarded	[-0.63189189  1.79027027]	[-1.26324324 -1.54648649]	2.117354673813777
34	rewarded	[-1.7239312   0.82928747]	[0.10630631 1.93807808]	-1.1772243539996639
35	non-rewarded	[-0.40378378  1.91945946]	[-1.75459459  0.77135135]	0.949269441872878
36	non-rewarded	[-1.33573574  1.45915916]	[ 0.08997543 -1.96717445]	2.446032681319018
37	non-rewarded	[-1.93837838  0.09945946]	[-0.74900901  1.74906907]	-1.114924837114434
38	non-rewarded	[-1.51567568  1.26918919]	[ 1.96594595 -0.26810811]	-2.5800137465524604
39	non-rewarded	[-0.98108108  1.73081081]	[ 1.86378378 -0.63837838]	-2.416464720702083
