estimated_food_x_cm,estimated_food_y_cm,fly,condition
2.6102702702702683,7.962162162162159,0,rewarded
5.97837837837838,5.935135135135133,1,rewarded
2.097297297297295,8.827027027027025,3,rewarded
3.72972972972973,7.875675675675678,4,rewarded
-6.7513513513513495,8.086486486486487,5,rewarded
7.0108108108108125,8.0,6,rewarded
-1.9513513513513523,6.7513513513513495,9,rewarded
1.054054054054054,6.567567567567568,10,rewarded
-2.5297297297297274,6.427027027027027,11,rewarded
-4.600000000000001,7.070270270270267,12,rewarded
-2.1297297297297284,7.064864864864867,16,rewarded
-0.6000000000000012,7.740540540540542,20,rewarded
-0.3405405405405381,7.0,23,rewarded
-2.1135135135135146,6.497297297297299,25,rewarded
0.34594594594594474,6.286486486486484,28,rewarded
-2.3297297297297312,5.756756756756758,29,rewarded
-3.2378378378378367,6.6108108108108095,30,rewarded
-1.1567567567567556,6.102702702702701,33,rewarded
-0.3675675675675651,7.735135135135136,34,rewarded
0.8810810810810786,6.086486486486487,7,non-rewarded
0.3729729729729717,7.318918918918919,8,non-rewarded
2.616216216216215,7.951351351351353,13,non-rewarded
0.6864864864864889,6.583783783783781,14,non-rewarded
-1.4756756756756733,6.951351351351353,15,non-rewarded
-4.513513513513512,6.97837837837838,17,non-rewarded
2.8216216216216234,8.005405405405407,18,non-rewarded
-1.8216216216216239,7.11891891891892,19,non-rewarded
-2.9783783783783795,8.816216216216217,21,non-rewarded
-1.5945945945945943,6.454054054054053,22,non-rewarded
-1.4594594594594594,7.513513513513512,24,non-rewarded
1.162162162162162,7.697297297297295,26,non-rewarded
-1.2108108108108095,6.443243243243246,27,non-rewarded
-2.410810810810812,5.1891891891891895,31,non-rewarded
-0.356756756756758,7.313513513513511,32,non-rewarded
1.0162162162162138,5.929729729729733,35,non-rewarded
-1.005405405405407,5.513513513513512,36,non-rewarded
-2.8270270270270244,6.070270270270267,37,non-rewarded
1.362162162162165,3.7945945945945967,38,non-rewarded
3.1297297297297284,4.772972972972972,39,non-rewarded
