fly	fname	condition	segment	location	fraction
0	flytrax20181123_114304.csv	rewarded	after_relocation	at_center	0.0
0	flytrax20181123_114304.csv	rewarded	baseline	at_center	0.15449960180515
0	flytrax20181123_114304.csv	rewarded	relocation	at_center	0.21875
0	flytrax20181123_114304.csv	rewarded	stimulation	at_center	0.0
0	flytrax20181123_114304.csv	rewarded	post-stim	at_center	0.0
1	flytrax20181123_152457.csv	rewarded	after_relocation	at_center	0.030021141649048625
1	flytrax20181123_152457.csv	rewarded	baseline	at_center	0.009161793372319687
1	flytrax20181123_152457.csv	rewarded	relocation	at_center	0.21052631578947367
1	flytrax20181123_152457.csv	rewarded	stimulation	at_center	0.0
1	flytrax20181123_152457.csv	rewarded	post-stim	at_center	0.0
3	flytrax20181123_162408.csv	rewarded	after_relocation	at_center	0.0033545197740113
3	flytrax20181123_162408.csv	rewarded	baseline	at_center	0.075
3	flytrax20181123_162408.csv	rewarded	relocation	at_center	0.21739130434782608
3	flytrax20181123_162408.csv	rewarded	stimulation	at_center	0.0
3	flytrax20181123_162408.csv	rewarded	post-stim	at_center	0.0
4	flytrax20181127_162328.csv	rewarded	after_relocation	at_center	0.022484173761187512
4	flytrax20181127_162328.csv	rewarded	baseline	at_center	0.014749262536873156
4	flytrax20181127_162328.csv	rewarded	relocation	at_center	0.0
4	flytrax20181127_162328.csv	rewarded	stimulation	at_center	0.0
4	flytrax20181127_162328.csv	rewarded	post-stim	at_center	0.0
5	flytrax20181204_163734.csv	rewarded	after_relocation	at_center	0.0
5	flytrax20181204_163734.csv	rewarded	baseline	at_center	0.0
5	flytrax20181204_163734.csv	rewarded	relocation	at_center	0.0
5	flytrax20181204_163734.csv	rewarded	stimulation	at_center	0.0
5	flytrax20181204_163734.csv	rewarded	post-stim	at_center	0.0
6	flytrax20181204_170930.csv	rewarded	after_relocation	at_center	0.06919129357635817
6	flytrax20181204_170930.csv	rewarded	baseline	at_center	0.0
6	flytrax20181204_170930.csv	rewarded	relocation	at_center	0.16071428571428573
6	flytrax20181204_170930.csv	rewarded	stimulation	at_center	0.03546099290780142
6	flytrax20181204_170930.csv	rewarded	post-stim	at_center	0.0
7	flytrax20181205_182038.csv	non-rewarded	after_relocation	at_center	0.0
7	flytrax20181205_182038.csv	non-rewarded	baseline	at_center	0.0066434147151635935
7	flytrax20181205_182038.csv	non-rewarded	relocation	at_center	0.4782608695652174
