cum_dist,t,timestamp,frame,x_px,y_px,led_1
0.0,2.8,1543939773.476067,43540053.51754386,307.88266170476686,633.9572532340951,0.0
2.0,7.6,1543939778.2760875,43540531.115384616,307.8509971509971,634.0719373219373,0.0
4.0,11.700000000000001,1543939782.3768167,43540939.12790698,307.56302325581396,634.3993281653746,0.0
6.0,15.899999999999999,1543939786.5765755,43541357.0,307.1923035230352,634.5729268292683,0.0
8.0,19.55,1543939790.2259805,43541720.109375,307.35444444444437,634.6563194444446,0.0
10.0,23.9,1543939794.5766995,43542153.0,307.59569696969686,634.8069292929295,0.0
12.0,29.65,1543939800.326295,43542725.075,307.63345622895633,634.6887087542087,0.0
14.0,35.15,1543939805.8265243,43543272.34,307.6314787878788,634.6551818181819,0.0
16.0,40.199999999999996,1543939810.8760943,43543774.76470588,307.6013071895425,634.6538997821351,0.0
18.0,45.35000000000001,1543939816.0268261,43544287.259615384,307.5898076923077,634.6523717948718,0.0
20.0,50.599999999999994,1543939821.2762947,43544809.5754717,307.58287211740054,634.6409853249477,0.0
22.0,55.849999999999994,1543939826.5263867,43545331.95192308,307.56793512043504,634.6707828282827,0.0
24.0,61.05,1543939831.7269938,43545849.40384615,307.5412393162392,634.6625641025641,0.0
26.0,66.2,1543939836.8764198,43546361.76470588,307.5321568627452,634.667450980392,0.0
28.0,71.3,1543939841.977302,43546869.294117644,307.40061002178646,634.6264270152507,0.0
30.0,76.35,1543939847.0264697,43547371.68,307.3345777777777,634.6188666666667,0.0
32.0,80.85,1543939851.5270026,43547819.475,307.3119444444445,634.6260555555556,0.0
34.0,85.25,1543939855.9274254,43548257.3125,307.261736111111,634.6177546296296,0.0
36.0,90.25,1543939860.9265504,43548754.72115385,307.18006021756,634.5903710178712,0.0
38.0,95.25,1543939865.9275665,43549252.3125,306.8741898148148,634.5196759259259,0.0
40.0,99.5,1543939870.1769598,43549675.12162162,306.86693693693695,634.5695495495495,0.0
42.0,103.39999999999999,1543939874.077354,43550063.20731708,306.73669376693766,634.6109485094852,0.0
44.0,107.44999999999997,1543939878.127358,43550466.175,306.6783333333332,634.5945000000002,0.0
46.0,111.5,1543939882.177489,43550869.15853658,306.6591598915989,634.6600542005418,0.0
48.0,115.5,1543939886.1773658,43551267.14102564,306.8026210826211,635.0757549857549,0.0
50.0,118.95000000000002,1543939889.627237,43551610.4,306.9818518518519,635.5139259259261,0.0
52.0,122.9,1543939893.5776598,43552003.45918367,307.2330839002268,635.5776417233565,0.0
54.0,127.35,1543939898.027626,43552446.225,307.177,635.5888888888892,0.0
56.0,131.85,1543939902.527422,43552893.95,307.15273131313126,635.5536020202021,0.0
58.0,136.95,1543939907.627729,43553401.42307692,307.14619269619277,635.5386052836052,0.0
60.0,142.20000000000002,1543939912.8768117,43553923.69811321,307.1399847531923,635.5161787688202,0.0
62.0,147.2,1543939917.8772285,43554421.234042555,307.1305157962605,635.5122372662801,0.0
64.0,151.95,1543939922.6266243,43554893.791666664,307.12391203703703,635.5008417508417,0.0
66.0,156.65,1543939927.3270407,43555361.47826087,307.12687307861216,635.5003623188405,0.0
68.0,161.45,1543939932.1268685,43555839.05,307.1126545454546,635.498325252525,0.0
70.0,166.55,1543939937.2271216,43556346.51923077,307.11423076923086,635.4847202797201,0.0
72.0,171.54999999999998,1543939942.2272909,43556844.03125,307.1097811447811,635.4956797138049,0.0
74.0,176.29999999999998,1543939946.9764082,43557316.56382979,307.1070169782936,635.4996453900709,0.0
76.0,181.25,1543939951.9264703,43557809.086538464,307.11147435897453,635.4941025641024,0.0
78.0,186.25,1543939956.9262953,43558306.5625,307.11354166666666,635.4998148148148,0.0
80.0,191.15,1543939961.826568,43558794.13,307.1115191919192,635.4885171717171,0.0
82.0,196.25,1543939966.926412,43559301.557692304,307.1117307692308,635.486282051282,0.0
84.0,201.45,1543939972.126593,43559818.97115385,307.1169017094019,635.4817307692309,0.0
86.0,206.70000000000002,1543939977.3769398,43560341.36792453,307.09249475891,635.4750524109015,0.0
88.0,212.4,1543939983.076453,43560908.46721312,307.07739526411655,635.4574134790527,0.0
90.0,217.95,1543939988.626019,43561460.64,307.07919999999996,635.4485777777777,0.0
92.0,223.25,1543939993.9264922,43561988.02678572,307.0701388888889,635.4463492063495,0.0
94.0,228.6,1543939999.2768435,43562520.38235294,307.0676034858388,635.4479302832242,0.0
96.0,233.9,1543940004.5763385,43563047.67272727,307.0072727272728,635.4587676767677,0.0
98.0,239.70000000000002,1543940010.376724,43563624.80327869,306.9904553734061,635.457723132969,0.0
100.0,246.10000000000002,1543940016.776946,43564261.61940298,306.9842951907131,635.4567330016582,0.0
102.0,252.3,1543940022.9768662,43564878.5,306.98183235867435,635.4549122807017,0.0
104.0,258.2,1543940028.8770192,43565465.55737705,306.9789981785063,635.4450819672131,0.0
106.0,263.95000000000005,1543940034.626637,43566037.63888889,306.9737860082304,635.4405967078188,0.0
108.0,269.3,1543940039.9770846,43566570.0,306.9577777777779,635.4333333333332,0.0
110.0,274.7,1543940045.377462,43567107.32727273,306.94771717171733,635.4350101010101,0.0
112.0,280.15000000000003,1543940050.8270535,43567649.55555555,306.93997942386846,635.4305349794238,0.0
114.0,285.95000000000005,1543940056.627435,43568226.68548387,306.93229390681,635.4212544802864,0.0
116.0,291.85,1543940062.5272121,43568813.70535714,306.91767857142855,635.4147817460317,0.0
118.0,297.75,1543940068.4275718,43569400.78225806,306.90385304659486,635.4048387096776,0.0
120.0,303.65000000000003,1543940074.327439,43569987.8125,306.8997023809522,635.4017063492063,0.0
122.0,308.75,1543940079.4279358,43570495.30434783,306.8914009661835,635.40384057971,0.0
124.0,313.90000000000003,1543940084.5773857,43571007.666666664,306.8821247563353,635.3886939571152,0.0
126.0,319.35,1543940090.026981,43571549.89423077,306.83902680652676,635.3663616938617,0.0
128.0,324.45,1543940095.1272018,43572057.36,307.12480404040394,635.464393939394,0.0
130.0,328.55,1543940099.2263784,43572465.21875,307.1179608585859,635.4222222222222,0.0
132.0,331.25,1543940101.9270203,43572733.93181818,306.4504912764004,634.3789853076216,0.0
134.0,332.45000000000005,1543940103.1286502,43572853.5,305.97,632.68,0.0
136.0,332.65000000000003,1543940103.3297,43572873.5,305.39,630.7950000000001,0.0
138.0,332.8,1543940103.4804,43572888.5,304.71999999999997,628.9100000000001,0.0
