fly	condition	is_close	count_intersect	max_intersect_len	threshold
0	rewarded	2.0	2.0	0.08569400434859341	0.1
1	rewarded	1.0	1.0	0.0	0.1
3	rewarded	5.0	4.0	0.28554920619741464	0.1
4	rewarded	2.0	1.0	0.0	0.1
5	rewarded	9.0	8.0	1.2098842980257392	0.1
6	rewarded	2.0	2.0	0.06106102824134823	0.1
7	non-rewarded	1.0	1.0	0.0	0.1
8	non-rewarded	1.0	1.0	0.0	0.1
9	rewarded	3.0	3.0	0.09623595303189234	0.1
10	rewarded	3.0	1.0	0.0	0.1
11	rewarded	2.0	2.0	0.09269012774381519	0.1
12	rewarded	2.0	2.0	0.0903803744213891	0.1
13	non-rewarded	1.0	1.0	0.0	0.1
14	non-rewarded	1.0	1.0	0.0	0.1
15	non-rewarded	1.0	1.0	0.0	0.1
16	rewarded	2.0	2.0	0.19886909837291447	0.1
17	non-rewarded	1.0	1.0	0.0	0.1
18	non-rewarded	1.0	1.0	0.0	0.1
19	non-rewarded	1.0	1.0	0.0	0.1
20	rewarded	2.0	2.0	0.057695103324938525	0.1
21	non-rewarded	1.0	1.0	0.0	0.1
22	non-rewarded	1.0	1.0	0.0	0.1
23	rewarded	2.0	2.0	0.06640929135113895	0.1
24	non-rewarded	1.0	1.0	0.0	0.1
25	rewarded	1.0	1.0	0.0	0.1
26	non-rewarded	1.0	1.0	0.0	0.1
27	non-rewarded	1.0	1.0	0.0	0.1
28	rewarded	1.0	1.0	0.0	0.1
29	rewarded	8.0	7.0	0.8542527993178711	0.1
30	rewarded	1.0	1.0	0.0	0.1
31	non-rewarded	1.0	1.0	0.0	0.1
32	non-rewarded	1.0	1.0	0.0	0.1
33	rewarded	3.0	3.0	0.051909484630416385	0.1
34	rewarded	1.0	1.0	0.0	0.1
35	non-rewarded	1.0	1.0	0.0	0.1
36	non-rewarded	1.0	1.0	0.0	0.1
37	non-rewarded	1.0	1.0	0.0	0.1
38	non-rewarded	1.0	1.0	0.0	0.1
39	non-rewarded	1.0	1.0	0.0	0.1
0	rewarded	2.0	2.0	0.08569400434859341	0.15000000000000002
1	rewarded	1.0	1.0	0.0	0.15000000000000002
3	rewarded	7.0	5.0	0.3692651577887682	0.15000000000000002
4	rewarded	5.0	3.0	0.2104202897059681	0.15000000000000002
5	rewarded	10.0	9.0	1.3932489841809141	0.15000000000000002
6	rewarded	3.0	3.0	0.17624129319162982	0.15000000000000002
7	non-rewarded	3.0	2.0	0.13682163750557705	0.15000000000000002
8	non-rewarded	1.0	1.0	0.0	0.15000000000000002
9	rewarded	3.0	3.0	0.09623595303189234	0.15000000000000002
10	rewarded	5.0	2.0	0.1787914954108909	0.15000000000000002
11	rewarded	2.0	2.0	0.09269012774381519	0.15000000000000002
12	rewarded	2.0	2.0	0.0903803744213891	0.15000000000000002
13	non-rewarded	1.0	1.0	0.0	0.15000000000000002
14	non-rewarded	1.0	1.0	0.0	0.15000000000000002
15	non-rewarded	2.0	2.0	0.12219808446781873	0.15000000000000002
16	rewarded	2.0	2.0	0.19886909837291447	0.15000000000000002
17	non-rewarded	2.0	2.0	0.10126980201899433	0.15000000000000002
18	non-rewarded	2.0	2.0	0.27776171530540295	0.15000000000000002
19	non-rewarded	1.0	1.0	0.0	0.15000000000000002
20	rewarded	2.0	2.0	0.057695103324938525	0.15000000000000002
21	non-rewarded	1.0	1.0	0.0	0.15000000000000002
22	non-rewarded	2.0	2.0	0.13385037927529128	0.15000000000000002
23	rewarded	2.0	2.0	0.06640929135113895	0.15000000000000002
24	non-rewarded	1.0	1.0	0.0	0.15000000000000002
25	rewarded	1.0	1.0	0.0	0.15000000000000002
26	non-rewarded	2.0	2.0	0.14933692562596718	0.15000000000000002
27	non-rewarded	1.0	1.0	0.0	0.15000000000000002
28	rewarded	1.0	1.0	0.0	0.15000000000000002
29	rewarded	10.0	8.0	1.0483606458788863	0.15000000000000002
30	rewarded	1.0	1.0	0.0	0.15000000000000002
31	non-rewarded	1.0	1.0	0.0	0.15000000000000002
32	non-rewarded	1.0	1.0	0.0	0.15000000000000002
33	rewarded	4.0	4.0	0.10378519143189684	0.15000000000000002
34	rewarded	1.0	1.0	0.0	0.15000000000000002
35	non-rewarded	1.0	1.0	0.0	0.15000000000000002
36	non-rewarded	1.0	1.0	0.0	0.15000000000000002
37	non-rewarded	1.0	1.0	0.0	0.15000000000000002
38	non-rewarded	1.0	1.0	0.0	0.15000000000000002
39	non-rewarded	1.0	1.0	0.0	0.15000000000000002
0	rewarded	3.0	3.0	0.16218828618400716	0.2
1	rewarded	2.0	2.0	0.15616594159683503	0.2
3	rewarded	8.0	6.0	0.46906026376634996	0.2
4	rewarded	6.0	6.0	0.12632005682693373	0.2
5	rewarded	11.0	10.0	1.5459256282921172	0.2
6	rewarded	3.0	3.0	0.17624129319162982	0.2
7	non-rewarded	5.0	5.0	1.0745514822077897	0.2
8	non-rewarded	1.0	1.0	0.0	0.2
9	rewarded	4.0	4.0	0.15329352337823618	0.2
10	rewarded	7.0	3.0	0.34139960284680615	0.2
11	rewarded	3.0	3.0	0.17553810512044646	0.2
12	rewarded	2.0	2.0	0.0903803744213891	0.2
13	non-rewarded	1.0	1.0	0.0	0.2
14	non-rewarded	1.0	1.0	0.0	0.2
15	non-rewarded	2.0	2.0	0.12219808446781873	0.2
16	rewarded	3.0	3.0	0.35222427943585183	0.2
17	non-rewarded	3.0	3.0	0.18471316806887994	0.2
18	non-rewarded	2.0	2.0	0.27776171530540295	0.2
19	non-rewarded	1.0	1.0	0.0	0.2
20	rewarded	3.0	3.0	0.17352704876591674	0.2
21	non-rewarded	5.0	3.0	0.5543453420185527	0.2
22	non-rewarded	2.0	2.0	0.13385037927529128	0.2
23	rewarded	3.0	3.0	0.18865217649883775	0.2
24	non-rewarded	2.0	2.0	0.16577259854481344	0.2
25	rewarded	1.0	1.0	0.0	0.2
26	non-rewarded	2.0	2.0	0.14933692562596718	0.2
27	non-rewarded	1.0	1.0	0.0	0.2
28	rewarded	1.0	1.0	0.0	0.2
29	rewarded	11.0	9.0	1.163608025793812	0.2
30	rewarded	1.0	1.0	0.0	0.2
31	non-rewarded	2.0	2.0	0.17021555333123412	0.2
32	non-rewarded	1.0	1.0	0.0	0.2
33	rewarded	6.0	6.0	0.2979805416701331	0.2
34	rewarded	1.0	1.0	0.0	0.2
35	non-rewarded	2.0	2.0	0.17787531105810878	0.2
36	non-rewarded	1.0	1.0	0.0	0.2
37	non-rewarded	2.0	2.0	0.31012222657370775	0.2
38	non-rewarded	1.0	1.0	0.0	0.2
39	non-rewarded	1.0	1.0	0.0	0.2
0	rewarded	3.0	3.0	0.16218828618400716	0.25
1	rewarded	2.0	2.0	0.15616594159683503	0.25
3	rewarded	9.0	6.0	0.46906026376634996	0.25
4	rewarded	7.0	7.0	0.21993624150809726	0.25
5	rewarded	12.0	12.0	1.9121070567935992	0.25
6	rewarded	3.0	3.0	0.17624129319162982	0.25
7	non-rewarded	6.0	6.0	1.3902927459081278	0.25
8	non-rewarded	2.0	2.0	0.2150932251977197	0.25
9	rewarded	4.0	4.0	0.15329352337823618	0.25
10	rewarded	8.0	3.0	0.3422714483256527	0.25
11	rewarded	3.0	3.0	0.17553810512044646	0.25
12	rewarded	3.0	3.0	0.20457870622731392	0.25
13	non-rewarded	1.0	1.0	0.0	0.25
14	non-rewarded	1.0	1.0	0.0	0.25
15	non-rewarded	2.0	2.0	0.12219808446781873	0.25
16	rewarded	7.0	7.0	0.7386960655660101	0.25
17	non-rewarded	3.0	3.0	0.18471316806887994	0.25
18	non-rewarded	2.0	2.0	0.27776171530540295	0.25
19	non-rewarded	1.0	1.0	0.0	0.25
20	rewarded	3.0	3.0	0.17352704876591674	0.25
21	non-rewarded	6.0	5.0	1.078996943774599	0.25
22	non-rewarded	2.0	2.0	0.13385037927529128	0.25
23	rewarded	3.0	3.0	0.18865217649883775	0.25
24	non-rewarded	2.0	2.0	0.16577259854481344	0.25
25	rewarded	1.0	1.0	0.0	0.25
26	non-rewarded	2.0	2.0	0.14933692562596718	0.25
27	non-rewarded	1.0	1.0	0.0	0.25
28	rewarded	1.0	1.0	0.0	0.25
29	rewarded	11.0	9.0	1.163608025793812	0.25
30	rewarded	1.0	1.0	0.0	0.25
31	non-rewarded	2.0	2.0	0.17021555333123412	0.25
32	non-rewarded	2.0	2.0	0.23640800594641248	0.25
33	rewarded	6.0	6.0	0.2979805416701331	0.25
34	rewarded	2.0	2.0	0.2027247970560237	0.25
35	non-rewarded	2.0	2.0	0.17787531105810878	0.25
36	non-rewarded	1.0	1.0	0.0	0.25
37	non-rewarded	2.0	2.0	0.31012222657370775	0.25
38	non-rewarded	1.0	1.0	0.0	0.25
39	non-rewarded	2.0	2.0	0.219442424488075	0.25
0	rewarded	4.0	4.0	0.25220546541654243	0.30000000000000004
1	rewarded	3.0	3.0	0.2712190104759113	0.30000000000000004
3	rewarded	9.0	6.0	0.46906026376634996	0.30000000000000004
4	rewarded	7.0	7.0	0.21993624150809726	0.30000000000000004
5	rewarded	12.0	12.0	1.9121070567935992	0.30000000000000004
6	rewarded	4.0	4.0	0.3232062936488044	0.30000000000000004
7	non-rewarded	6.0	6.0	1.3902927459081278	0.30000000000000004
8	non-rewarded	2.0	2.0	0.2150932251977197	0.30000000000000004
9	rewarded	4.0	4.0	0.15329352337823618	0.30000000000000004
10	rewarded	9.0	7.0	1.0336131638038621	0.30000000000000004
11	rewarded	4.0	4.0	0.2810838867246504	0.30000000000000004
12	rewarded	4.0	4.0	0.27008263757155204	0.30000000000000004
13	non-rewarded	2.0	2.0	0.2726452407785926	0.30000000000000004
14	non-rewarded	1.0	1.0	0.0	0.30000000000000004
15	non-rewarded	2.0	2.0	0.12219808446781873	0.30000000000000004
16	rewarded	7.0	7.0	0.7386960655660101	0.30000000000000004
17	non-rewarded	3.0	3.0	0.18471316806887994	0.30000000000000004
18	non-rewarded	2.0	2.0	0.27776171530540295	0.30000000000000004
19	non-rewarded	1.0	1.0	0.0	0.30000000000000004
20	rewarded	4.0	4.0	0.29505196742474343	0.30000000000000004
21	non-rewarded	7.0	7.0	1.6628076312092124	0.30000000000000004
22	non-rewarded	2.0	2.0	0.13385037927529128	0.30000000000000004
23	rewarded	3.0	3.0	0.18865217649883775	0.30000000000000004
24	non-rewarded	2.0	2.0	0.16577259854481344	0.30000000000000004
25	rewarded	1.0	1.0	0.0	0.30000000000000004
26	non-rewarded	3.0	3.0	0.25784194568657604	0.30000000000000004
27	non-rewarded	1.0	1.0	0.0	0.30000000000000004
28	rewarded	1.0	1.0	0.0	0.30000000000000004
29	rewarded	13.0	10.0	1.3782313647090052	0.30000000000000004
30	rewarded	2.0	2.0	0.25764455331130687	0.30000000000000004
31	non-rewarded	2.0	2.0	0.17021555333123412	0.30000000000000004
32	non-rewarded	2.0	2.0	0.23640800594641248	0.30000000000000004
33	rewarded	7.0	7.0	0.4377718502159508	0.30000000000000004
34	rewarded	2.0	2.0	0.2027247970560237	0.30000000000000004
35	non-rewarded	2.0	2.0	0.17787531105810878	0.30000000000000004
36	non-rewarded	1.0	1.0	0.0	0.30000000000000004
37	non-rewarded	2.0	2.0	0.31012222657370775	0.30000000000000004
38	non-rewarded	2.0	2.0	0.27926245226843277	0.30000000000000004
39	non-rewarded	2.0	2.0	0.219442424488075	0.30000000000000004
0	rewarded	4.0	4.0	0.25220546541654243	0.3500000000000001
1	rewarded	3.0	3.0	0.2712190104759113	0.3500000000000001
3	rewarded	11.0	7.0	0.526369513616507	0.3500000000000001
4	rewarded	8.0	8.0	0.321365330544045	0.3500000000000001
5	rewarded	13.0	13.0	2.062194750194137	0.3500000000000001
6	rewarded	4.0	4.0	0.3232062936488044	0.3500000000000001
7	non-rewarded	7.0	6.0	1.3902927459081278	0.3500000000000001
8	non-rewarded	2.0	2.0	0.2150932251977197	0.3500000000000001
9	rewarded	5.0	5.0	0.32078246191828386	0.3500000000000001
10	rewarded	10.0	8.0	1.2053187461274524	0.3500000000000001
11	rewarded	4.0	4.0	0.2810838867246504	0.3500000000000001
12	rewarded	4.0	4.0	0.27008263757155204	0.3500000000000001
13	non-rewarded	2.0	2.0	0.2726452407785926	0.3500000000000001
14	non-rewarded	1.0	1.0	0.0	0.3500000000000001
15	non-rewarded	2.0	2.0	0.12219808446781873	0.3500000000000001
16	rewarded	8.0	8.0	0.8853461683645728	0.3500000000000001
17	non-rewarded	3.0	3.0	0.18471316806887994	0.3500000000000001
18	non-rewarded	3.0	3.0	0.5771646775496044	0.3500000000000001
19	non-rewarded	1.0	1.0	0.0	0.3500000000000001
20	rewarded	4.0	4.0	0.29505196742474343	0.3500000000000001
21	non-rewarded	8.0	8.0	1.8218751327326286	0.3500000000000001
22	non-rewarded	2.0	2.0	0.13385037927529128	0.3500000000000001
23	rewarded	4.0	4.0	0.3398645753107695	0.3500000000000001
24	non-rewarded	2.0	2.0	0.16577259854481344	0.3500000000000001
25	rewarded	2.0	2.0	0.3441957416157057	0.3500000000000001
26	non-rewarded	3.0	3.0	0.25784194568657604	0.3500000000000001
27	non-rewarded	1.0	1.0	0.0	0.3500000000000001
28	rewarded	1.0	1.0	0.0	0.3500000000000001
29	rewarded	14.0	11.0	1.439015012934436	0.3500000000000001
30	rewarded	2.0	2.0	0.25764455331130687	0.3500000000000001
31	non-rewarded	2.0	2.0	0.17021555333123412	0.3500000000000001
32	non-rewarded	2.0	2.0	0.23640800594641248	0.3500000000000001
33	rewarded	8.0	8.0	0.5148450020996556	0.3500000000000001
34	rewarded	2.0	2.0	0.2027247970560237	0.3500000000000001
35	non-rewarded	3.0	2.0	0.17787531105810878	0.3500000000000001
36	non-rewarded	2.0	2.0	0.31904583426369065	0.3500000000000001
37	non-rewarded	3.0	3.0	0.5886242694475238	0.3500000000000001
38	non-rewarded	2.0	2.0	0.27926245226843277	0.3500000000000001
39	non-rewarded	2.0	2.0	0.219442424488075	0.3500000000000001
0	rewarded	5.0	5.0	0.35839509153476995	0.4
1	rewarded	4.0	4.0	0.3967520619797321	0.4
3	rewarded	12.0	7.0	0.6661779259815732	0.4
4	rewarded	10.0	9.0	0.3957735073265194	0.4
5	rewarded	13.0	13.0	2.062194750194137	0.4
6	rewarded	4.0	4.0	0.3232062936488044	0.4
7	non-rewarded	8.0	8.0	2.0248097823387377	0.4
8	non-rewarded	2.0	2.0	0.2150932251977197	0.4
9	rewarded	5.0	5.0	0.32078246191828386	0.4
10	rewarded	12.0	9.0	1.377613354206758	0.4
11	rewarded	5.0	5.0	0.3995243387893774	0.4
12	rewarded	5.0	5.0	0.36494493615893764	0.4
13	non-rewarded	2.0	2.0	0.2726452407785926	0.4
14	non-rewarded	1.0	1.0	0.0	0.4
15	non-rewarded	2.0	2.0	0.12219808446781873	0.4
16	rewarded	8.0	8.0	0.8853461683645728	0.4
17	non-rewarded	3.0	3.0	0.18471316806887994	0.4
18	non-rewarded	3.0	3.0	0.5771646775496044	0.4
19	non-rewarded	2.0	2.0	0.35220269481326827	0.4
20	rewarded	5.0	5.0	0.3963054389657361	0.4
21	non-rewarded	8.0	8.0	1.8218751327326286	0.4
22	non-rewarded	2.0	2.0	0.13385037927529128	0.4
23	rewarded	4.0	4.0	0.3398645753107695	0.4
24	non-rewarded	2.0	2.0	0.16577259854481344	0.4
25	rewarded	2.0	2.0	0.3441957416157057	0.4
26	non-rewarded	3.0	3.0	0.25784194568657604	0.4
27	non-rewarded	1.0	1.0	0.0	0.4
28	rewarded	1.0	1.0	0.0	0.4
29	rewarded	15.0	12.0	1.453812152645787	0.4
30	rewarded	3.0	3.0	0.3603670720095681	0.4
31	non-rewarded	2.0	2.0	0.17021555333123412	0.4
32	non-rewarded	2.0	2.0	0.23640800594641248	0.4
33	rewarded	8.0	8.0	0.5148450020996556	0.4
34	rewarded	3.0	3.0	0.38052261499624984	0.4
35	non-rewarded	4.0	4.0	0.6906453688114718	0.4
36	non-rewarded	2.0	2.0	0.31904583426369065	0.4
37	non-rewarded	3.0	3.0	0.5886242694475238	0.4
38	non-rewarded	2.0	2.0	0.27926245226843277	0.4
39	non-rewarded	2.0	2.0	0.219442424488075	0.4
