fly	anti_reloc	actual_reward_vec	fictive_reward_vec	fly_vec	condition	angle_FRZ	angle_ARZ	angle_reloc
0	[-12.06972973  -1.47567568]	[-14.74540541   3.66594595]	[-2.67567568  5.14162162]	[0.57945946 2.92702703]	rewarded	0.6752719310036568	1.5225620679603153	1.8878965982114142
1	[-15.43783784   0.55135135]	[-15.52054054   5.60918919]	[-0.0827027   5.05783784]	[-1.68216216  0.47135135]	rewarded	-1.2812469919528404	-0.07359875870951837	0.23750028453170424
3	[-11.55675676  -2.34054054]	[-10.70216216   3.42702703]	[0.85459459 5.76756757]	[0.97405405 1.23837838]	rewarded	0.5193873772123636	1.9273849781455823	2.4371087932002986
4	[-13.18918919  -1.38918919]	[-16.46864865   2.95567568]	[-3.27945946  4.34486486]	[-3.61351351 -1.09405405]	rewarded	-1.2182305662274544	-0.4715760529122708	-0.1890528062364667
5	[-2.70810811 -1.6       ]	[-4.18972973  2.89351351]	[-1.48162162  4.49351351]	[0.00810811 6.12108108]	rewarded	0.3198237402686317	0.9677176814162101	2.10576188843942
6	[-16.47027027  -1.51351351]	[-17.03675676   3.73297297]	[-0.56648649  5.24648649]	[-1.93297297 -4.10162162]	rewarded	-2.593633955657406	-1.346099372131178	-1.038759077658562
7	[-10.34054054   0.4       ]	[-13.11081081   4.98810811]	[-2.77027027  4.58810811]	[5.5        8.41351351]	non-rewarded	1.1221832959916132	1.7862285430593543	2.1111119649311796
8	[-9.83243243 -0.83243243]	[-9.04684685  4.0984985 ]	[0.78558559 4.93093093]	[-5.47711712 -5.79123123]	non-rewarded	-2.54205318561461	-1.2386380558116308	-0.728806244210404
9	[-7.50810811 -0.26486486]	[-7.60540541  4.72162162]	[-0.0972973   4.98648649]	[-3.75189189  1.88972973]	rewarded	-1.0847042617170803	-0.0890086899671454	0.5018449004929089
10	[-10.51351351  -0.08108108]	[-9.60054054  4.8827027 ]	[0.91297297 4.96378378]	[1.22972973 6.09189189]	rewarded	0.01729269996785865	1.2994899555406612	1.7776948588782897
