axis	comment	t	time	troom	x	y
x		37.6	16:00	22.9	0	-30.0
x		31.4	15:51	22.7	0	-25.5
x		27.5	15:43	22.5	0	-20.0
x	heat off now	25.3	17:10	23.3	0	-15.0
x		25.2	15:30		0	-10.0
x	open curtain now	24.8	15:26		0	-5.0
x	close curtain now	24.2	16:07	23.0	0	0.0
x		24.1	16:15	23.0	0	5.0
x		24.6	16:21	23.0	0	10.0
x		25.8	16:30	23.0	0	15.0
x		27.3	16:38	23.0	0	20.0
x		30.8	16:53	23.0	0	25.0
x		37.5	17:00	23.1	0	30.0
y		37.2	19:58	22.8	-30	0.0
y		29.5	19:51	22.8	-25	0.0
y		26.2	19:45	22.6	-20	0.0
y		24.5	19:38	22.5	-15	0.0
y		23.5	19:31	22.3	-10	0.0
y		23.1	19:24	22.2	-5	0.0
y		23.5	20:05	22.9	0	0.0
y		22.4	18:40	21.4	5	0.0
y		22.8	18:46	21.5	10	0.0
y		24.6	20:11	23.0	15	0.0
y		25.1	19:00	21.6	20	0.0
y		28.0	19:06	21.9	25	0.0
y		33.9	19:12	22.1	30	0.0
